sku_internal_id,erp_code,product_name,cdKey,cdMiraGapRaw,cdTermDisplay,xLojas,rawSum,productionTotal,minFinalCd,p150TodayCd,dispTodayCd,error
3665,12754,CORTINA LUX PRATIKA BLACK MISTO VOIL SLIN PRATA 2.60X1.70,Fábrica,6,6,8,14,14,1,5.694011452771875,0,
3666,12751,CORTINA LUX PRATIKA BLACK MISTO VOIL SLIN BRANCO 2.60X2.60,Fábrica,1,1,8,9,9,1,1.018316390712837,0,
3667,12753,CORTINA LUX PRATIKA BLACK MISTO VOIL SLIN PEROLA 2.60X2.60,Fábrica,1,1,8,9,9,1,1,0,
3668,12755,CORTINA LUX PRATIKA BLACK MISTO VOIL SLIN PRATA 2.60X2.60,Fábrica,1,1,8,9,9,1,1,0,
3669,12760,ABRAÇADEIRA IMA NATURAL CRU,Fábrica,1,1,8,9,9,1,1,0,
3670,12761,ABRAÇADEIRA IMA PRATIKA BRANCO,Fábrica,1,1,8,9,9,1,1,0,
3671,12762,ABRAÇADEIRA IMA PRATIKA FENDI,Fábrica,1,1,8,9,9,1,1,0,
3672,12763,ABRAÇADEIRA IMA PRATIKA IMBUIA,Fábrica,1,1,8,9,9,1,1,0,
3673,12764,CAPA ALMOFADA 45X45 VELUDO GEOMETRICO MARROM,Fábrica,2,2,7,9,9,1,2.2238744455436126,0,
3674,12765,TRAVESSEIRO ART. ALCANTARA SONOLEVE 0.45X0.65,Fábrica,4,4,8,12,12,1,3.842413990428535,0,
3675,12771,KIT COLCHA SOLTEIRO PRIVILEGIO LISO BEGE,Fábrica,1,1,9,10,10,1,1,0,
3676,12777,KIT COLCHA SOLTEIRO PRIVILEGIO LISO CINZA,Fábrica,1,1,8,9,9,1,1,0,
3677,12780,KIT COLCHA SOLTEIRO PRIVILEGIO LISO MARFIM,Fábrica,1,1,8,9,9,1,1,0,
3678,12774,KIT COLCHA SOLTEIRO PRIVILEGIO LISO BRANCO,Fábrica,1,1,8,9,9,1,1.024507356521668,0,
3679,12768,KIT COLCHA SOLTEIRO PRIVILEGIO LISO AZ.MARINHO,Fábrica,1,1,8,9,9,1,1,0,
3680,12769,KIT COLCHA CASAL PRIVILEGIO LISO BEGE,Fábrica,1,1,8,9,9,1,1,0,
3681,12775,KIT COLCHA CASAL PRIVILEGIO LISO CINZA,Fábrica,1,1,8,9,9,1,1,0,
3682,12778,KIT COLCHA CASAL PRIVILEGIO LISO MARFIM,Fábrica,1,1,8,9,9,1,1,0,
3683,12772,KIT COLCHA CASAL PRIVILEGIO LISO BRANCO,Fábrica,1,1,8,9,9,1,1,0,
3684,12766,KIT COLCHA CASAL PRIVILEGIO LISO AZ.MARINHO,Fábrica,1,1,8,9,9,1,1,0,
3685,12770,KIT COLCHA QUEEN PRIVILEGIO LISO BEGE,Fábrica,1,1,8,9,9,1,1,0,
3686,12776,KIT COLCHA QUEEN PRIVILEGIO LISO CINZA,Fábrica,1,1,8,9,9,1,1,0,
3687,12779,KIT COLCHA QUEEN PRIVILEGIO LISO MARFIM,Fábrica,1,1,8,9,9,1,1,0,
3688,12773,KIT COLCHA QUEEN PRIVILEGIO LISO BRANCO,Fábrica,1,1,8,9,9,1,1,0,
3689,12767,KIT COLCHA QUEEN PRIVILEGIO LISO AZ.MARINHO,Fábrica,1,1,8,9,9,1,1,0,
3690,76,LINHO SUISSO PRATA,Fábrica,96,96,0,96,96,3,95.87882590804847,0,
3691,12783,JG DE CAMA MICRO. SOLTEIRO 400F C/ ELAST SUPREMA 2 PEÇAS,Fábrica,0,0,8,8,8,2,12.243990791796907,24,
3692,12781,JG DE CAMA MICRO. CASAL 400F C/ ELAST SUPREMA 3 PEÇAS,Fábrica,1,1,8,9,9,3,23.99014682957813,23,
3693,12782,JG DE CAMA MICRO. QUEEN 400F C/ ELAST SUPREMA 3 PEÇAS,Fábrica,0,0,8,8,8,2,16.22265366653346,20,
3694,12827,CORTINA WAVE UNICA LINHO ELEGANCE BRANCO 2.00X2.70,Fábrica,3,3,8,11,11,1,6.947810656138527,4,
3695,12829,CORTINA WAVE UNICA LINHO ELEGANCE FENDI 2.00X2.70,Fábrica,2,2,8,10,10,1,7.179880156067098,5,
3696,12831,CORTINA WAVE UNICA LINHO ELEGANCE GRAFITE 2.00X2.70,Fábrica,1,1,8,9,9,1,1,0,
3697,12833,CORTINA WAVE UNICA LINHO ELEGANCE PEROLA 2.00X2.70,Fábrica,6,6,8,14,14,2,13.129701359758805,7,
3698,12835,CORTINA WAVE UNICA LINHO ELEGANCE PRATA 2.00X2.70,Fábrica,8,8,8,16,16,2,9.515221519562862,2,
3699,12828,CORTINA WAVE UNICA LINHO ELEGANCE BRANCO 3.00X2.70,Fábrica,5,5,8,13,13,2,7.749213525269264,3,
3700,12830,CORTINA WAVE UNICA LINHO ELEGANCE FENDI 3.00X2.70,Fábrica,7,7,8,15,15,2,8.96862529300561,2,
3701,12832,CORTINA WAVE UNICA LINHO ELEGANCE GRAFITE 3.00X2.70,Fábrica,1,1,8,9,9,1,1,0,
3702,12834,CORTINA WAVE UNICA LINHO ELEGANCE PEROLA 3.00X2.70,Fábrica,25,25,8,33,33,3,29.383300880715552,4,
3703,12836,CORTINA WAVE UNICA LINHO ELEGANCE PRATA 3.00X2.70,Fábrica,0,0,8,8,8,2,14.286604887373127,18,
3704,12859,CORTINA SEM BAINHA 1,Fábrica,1,1,8,9,9,1,1,0,
3705,12866,FORRO RETO BLACK LISO BRANCO 2.00X2.68,Fábrica,14,14,8,22,22,2,13.692483137269967,0,
3706,12868,FORRO RETO BLACK LISO PEROLA 2.00X2.68,Fábrica,16,16,8,24,24,2,15.875921441759266,0,
3707,12870,FORRO RETO BLACK LISO PRATA 2.00X2.68,Fábrica,4,4,8,12,12,1,6.697555082563605,3,
3708,12867,FORRO RETO BLACK LISO BRANCO 3.00X2.68,Fábrica,13,13,8,21,21,3,17.42369161854427,4,
3709,12869,FORRO RETO BLACK LISO PEROLA 3.00X2.68,Fábrica,26,26,8,34,34,3,25.541141855616956,0,
3710,12871,FORRO RETO BLACK LISO PRATA 3.00X2.68,Fábrica,4,4,8,12,12,2,13.311901196409636,9,
3711,12872,FORRO RETO TERGAL BRANCO 2.00X2.68,Fábrica,1,1,8,9,9,1,1,0,
3712,12874,FORRO RETO TERGAL PEROLA 2.00X2.68,Fábrica,1,1,8,9,9,1,1,0,
3713,12876,FORRO RETO TERGAL PRATA 2.00X2.68,Fábrica,1,1,8,9,9,1,1,0,
3714,12873,FORRO RETO TERGAL BRANCO 3.00X2.68,Fábrica,1,1,8,9,9,1,1,0,
3715,12875,FORRO RETO TERGAL PEROLA 3.00X2.68,Fábrica,1,1,8,9,9,1,1,0,
3716,12877,FORRO RETO TERGAL PRATA 3.00X2.68,Fábrica,1,1,13,14,14,1,1,0,
3717,77,TEC. CORTA LUZ OMEGA OFF WHITE 2.80 MT,Fábrica,90,90,0,90,90,3,90.9811099769185,1.2,
3718,78,TEC. CORTA LUZ OMEGA CINZA 2.80 MT,Fábrica,8,8,0,8,8,2,8.311785413157576,0,
3719,79,LINHO BORDADO TRIGOS BCO/PRATA 2.80 M,Fábrica,12,12,0,12,12,3,91.02900383154387,79.4,
3720,12881,CORTINA LUX UNICA CTL OMEGA CINZA 2.60X1.70,Fábrica,8,8,8,16,16,2,7.9214719989650115,0,
3721,12879,CORTINA LUX UNICA CTL OMEGA OFF WHITE 2.60X1.70,Fábrica,1,1,8,9,9,1,1,0,
3722,12882,CORTINA LUX UNICA CTL OMEGA CINZA 4.00X2.60,Fábrica,6,6,14,20,20,1,5.916575023605102,0,
3723,12880,CORTINA LUX UNICA CTL OMEGA OFF WHITE 4.00X2.60,Fábrica,1,1,8,9,9,1,1.2452831076383983,0,
3724,12883,CAPA ALMOFADA 45X45 JACQ. MEDALHAO AVELA,Fábrica,1,1,8,9,9,1,1,0,
3725,12860,CORTINA SEM BAINHA 2,Fábrica,1,1,7,8,8,1,1,0,
3726,12861,CORTINA SEM BAINHA 3,Fábrica,1,1,4,5,5,1,1,0,
3727,12862,CORTINA SEM BAINHA 4,Fábrica,1,1,1,2,2,1,1,0,
3728,12863,CORTINA SEM BAINHA 5,Fábrica,1,1,6,7,7,1,1,0,
3729,12864,CORTINA SEM BAINHA 6,Fábrica,1,1,1,2,2,1,1,0,
3730,12865,CORTINA SEM BAINHA 7,Fábrica,1,1,0,1,1,1,1,0,
3731,12900,FORRO RETO BLACK LISO NUDE 3.00X2.68,Fábrica,1,1,3,4,4,1,1,0,
3732,12903,CORTINA LUX DUAL LINHO BORDADO TRIGOS PRATA 4.00X2.60,Fábrica,3,3,8,11,11,1,3.015028423143379,0,
3733,12905,CORTINA LUX DUAL LINHO BORDADO TRIGOS PRATA 5.80X2.60,Fábrica,2,2,8,10,10,1,1.9551536679118082,0,
3734,81,TEC BLACKOUT 100% MADRI BRANCO,Fábrica,6,6,0,6,6,1,6.206130061414045,0,
3735,82,TEC BLACKOUT 100% MADRI PRATA,Fábrica,0,3,0,0,3,3,21.92188595604123,155.6,
