sku_internal_id,erp_code,product_name,store,is_factory_or_cd,disponivel,fisico,vitrine,min_stock,alvo_p150,sugestao_unidades,ruptura_pct,unidades_perdidas_estimadas,prioridade,acao_sugerida,data_file
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",G2,false,1,2,1,,3,2,0,0,EQUILIBRADO,Repor +2 u (vs. alvo P150),sku_3059.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Fábrica,true,0,0,0,,3,3,1.9231,5.6667,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Tupis,false,0,0,1,,3,3,1.9231,2.513,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Barreiro,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Eldorado 2,false,0,0,1,,3,3,1.9231,1.5208,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Guaranis,false,2,3,1,,3,1,0,0,EQUILIBRADO,Repor +1 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Betim,false,0,0,1,,3,3,1.9231,2.5208,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Babita,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Venda Nova,false,2,3,1,,3,1,0,0,EQUILIBRADO,Repor +1 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",G2,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3060,12120,"TAPETE 1,00X1,40 VS SIENA PRATA",Fábrica,true,0,0,0,,3,3,1.9231,2.0424,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3060.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Tupis,false,0,0,1,,3,3,1.9231,2.5303,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Eldorado 2,false,0,0,1,,3,3,1.9231,2.4794,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Guaranis,false,0,1,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Betim,false,0,0,1,,3,3,1.9231,2.513,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Venda Nova,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",G2,false,0,1,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3061,12121,"TAPETE 1,50X2,00 VS SIENA BEGE",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3061.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Barreiro,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Tupis,false,1,2,1,,3,2,0,0,EQUILIBRADO,Repor +2 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Eldorado 2,false,0,0,1,,3,3,1.9231,2.7811,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Guaranis,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Betim,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Babita,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",G2,false,0,0,1,,3,3,1.9231,2.3811,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Venda Nova,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3062,12122,"TAPETE 1,50X2,00 VS SIENA PRATA",Fábrica,true,0,0,0,,3,3,1.9231,1.9931,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3062.js
3063,12123,"TAPETE 0,50X1,40 VS TOUCH BEGE",Tupis,false,1,2,1,,3,2,0,0,EQUILIBRADO,Repor +2 u (vs. alvo P150),sku_3063.js
3063,12123,"TAPETE 0,50X1,40 VS TOUCH BEGE",Guaranis,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3063.js
3063,12123,"TAPETE 0,50X1,40 VS TOUCH BEGE",Betim,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3063.js
3063,12123,"TAPETE 0,50X1,40 VS TOUCH BEGE",G2,false,0,0,1,,3,3,1.9231,2.5208,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3063.js
3063,12123,"TAPETE 0,50X1,40 VS TOUCH BEGE",Barreiro,false,0,0,1,,3,3,1.9231,2.7811,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3063.js
