sku_internal_id,erp_code,product_name,store,demand,baseRep,minFinal,p150Today,dispToday,curveClass,ltDaysOperational,error
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Eldorado 2,1,1,1,1,0,C,6,
1930,K1034,PERSIANA 1.50x1.70 TEC BLACK-OUT 1034,G2,1,1,1,1,0,C,16,
1933,K655,PERSIANA 1.50x1.70 TEC RESINADA 655,Barreiro,1,1,1,1,0,C,16,
1936,K1015,PERSIANA 1.50x1.70 TEC RESINADA 1015,Barreiro,1,1,1,1,0,C,16,
1936,K1015,PERSIANA 1.50x1.70 TEC RESINADA 1015,Venda Nova,1,1,1,1,0,C,16,
1939,K561,PERSIANA 1.50x1.70 TEC RESINADA 561,Barreiro,1,1,1,1,0,C,16,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Babita,1,1,1,1.0100684226004257,0,C,26,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Betim,1,1,1,1,0,C,4,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Venda Nova,1,1,1,1,0,C,8,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Tupis,1,1,1,1,0,C,16,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,G2,1,1,1,1,0,C,5,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Guaranis,1,1,1,1,0,C,16,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Barreiro,1,1,1,1,0,C,6,
1941,11118,CORTINA LUX COZ. UNICA OXFORD XICARAS BEGE 2.60X1.30,Eldorado 2,1,1,1,1,0,C,12,
1942,11130,"CORTA LUZ 4,00X2,60 EST AZUL",Babita,1,1,1,1,0,C,16,
1942,11130,"CORTA LUZ 4,00X2,60 EST AZUL",G2,1,1,1,1,0,C,16,
1942,11130,"CORTA LUZ 4,00X2,60 EST AZUL",Guaranis,1,1,1,1,0,C,16,
1942,11130,"CORTA LUZ 4,00X2,60 EST AZUL",Venda Nova,1,1,1,1,0,C,16,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Tupis,1,1,1,1,0,C,8,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Barreiro,1,1,1,1,0,C,4,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Guaranis,1,1,1,1,0,C,9,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Babita,1,1,1,1,0,C,8,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,G2,1,1,1,1,0,C,3,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Betim,1,1,1,1,0,C,12,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Venda Nova,1,1,1,1,0,C,5,
1943,11116,CORTINA LUX COZ. UNICA OXFORD GALOS 2.60X1.30,Eldorado 2,1,1,1,1,0,C,9,
1951,11124,"CORTA LUZ 2,60X1,80 EST MARROM",Betim,1,1,1,1,0,C,16,
1951,11124,"CORTA LUZ 2,60X1,80 EST MARROM",Tupis,1,1,1,1,0,C,16,
1951,11124,"CORTA LUZ 2,60X1,80 EST MARROM",Barreiro,1,1,1,1,0,C,16,
1951,11124,"CORTA LUZ 2,60X1,80 EST MARROM",Venda Nova,1,1,1,1,0,C,16,
1951,11124,"CORTA LUZ 2,60X1,80 EST MARROM",G2,1,1,1,1,0,C,16,
1951,11124,"CORTA LUZ 2,60X1,80 EST MARROM",Babita,1,1,1,1,0,C,16,
